基準水準点,L000000000072,基７２,42.70055556,140.06194444,,北海道島牧郡島牧村
基準水準点,L000000000073,基７３,42.36603372,140.98393794,,北海道室蘭市
基準水準点,L000000000074,基７４,44.30597497,141.65346611,,北海道苫前郡苫前町
基準水準点,L000000000075,基７５,45.52140064,141.93668611,,北海道稚内市
基準水準点,L000000000076,基７６,43.84737519,142.77109583,,北海道上川郡上川町
基準水準点,L000000000077,基７７,42.98083333,142.39722222,,北海道勇払郡占冠村
基準水準点,L000000000078,基７８,44.01565586,144.17175178,,北海道網走市
基準水準点,L000000000079,基７９,42.00861111,143.15833333,,北海道幌泉郡えりも町
基準水準点,L000000000080,基８０,42.97971722,144.38691153,,北海道釧路市
基準水準点,L000000000081,基８１,43.23208056,145.25925000,,北海道根室市
基準水準点,L000000000082,基８２,43.08416667,141.26805556,,北海道札幌市西区
基準水準点,L000000000083,基８３,26.63052992,128.16514717,,沖縄県国頭郡東村
基準水準点,L000000000I-G,隠岐原点,36.20381436,133.33378414,,島根県隠岐郡隠岐の島町
日本の空港,地方管理1,利尻空港,45.24395518860522, 141.18379665020444
日本の空港,地方管理2,礼文空港,45.45233049479895, 141.0414261937871
日本の空港,地方管理3,奥尻空港,42.07258161923905, 139.43557869462606
日本の空港,地方管理4,中標津空港,43.57299523424821, 144.9560941976465
日本の空港,地方管理5,女満別空港,43.881413181253606, 144.1589205565834,2020-02-24
日本の空港,共用8,徳島空港,34.13450224600559, 134.6180065922421,2014-09-22
...
日本百名橋,1,豊平橋,43.0555555,141.3644444,,北海道札幌市豊平区
日本百名橋,2,旭橋,43.7783333,142.36,,北海道旭川市
日本百名橋,3,幣舞橋,42.9811111,144.3855555,,北海道釧路市
日本百名橋,4,湊橋,40.5236111,141.5227777,,青森県八戸市
日本百名橋,5,上の橋,39.7052777,141.1563888,,岩手県盛岡市
日本百名橋,6,大橋,38.2580555,140.86,2022-09-30,宮城県仙台市青葉区
日本百名橋,7,蛇の崎橋,39.3177777,140.5652777,,秋田県横手市
日本百名橋,8,臥龍橋,38.4044444,140.2330555,,山形県寒河江市
日本百名橋,9,信夫橋,37.7444444,140.4633333,,福島県福島市
